text,rating,date
work has high impact and high visibility. *separator* Benefits/Time-offs is worse compared to other giant tech companies such as Google or FB.,4,"Jun 10, 2019"
End to end Ownership of project Challenging problems Smart collegues to learn from Compensation. *separator* Getting used to culture may be challenging initally.,5,"May 2, 2019"
"-strong leadership and organizational alignment around goals -empowerment with a lot of responsibility and autonomy in defining work/improving the product/improving the organization -supportive management -highly passionate and intelligent co-workers -great pay and stock options -cool workspaces in Seattle -fancy tech (nice laptop/mouse/keyboards/monitors/etc.) -free snacks (team dependent) -great place to learn -can work whenever (as long as you're pulling your weight). *separator* -not as many perks as other tech companies (but aside from free food, I wonder how many you'd actually use) -""move fast"" approach, which means things can sometimes be done hastily in the interest of delivering results quickly -nobody expects you to work past 9AM-5PM, but you might need to do that to get your work done depending on how fast you work.",5,"Apr 2, 2019"
"high pay, growth, free stuff from the website. *separator* kept in basement until finished coding, lashings.",5,"Mar 22, 2019"
lots of interesting groups with interesting problems. *separator* some groups are very heavy on operations.,3,"Apr 7, 2019"
"Smart knowledgeabke colleagues, interesting projects, compensation. *separator* 40-80 hours per week.",5,"Oct 22, 2018"
"Amazon wants their employees to work on projects where they can use their best strengths. Because Amazon has so many teams working on so many different products, you can find a great fit for your combination of strengths. Most people who work here are bright, hardworking and of good character.. *separator* Most people who work here have high standards, especially of themselves, so people feel a lot of pressure from within. This can lead to people being a bit negative. In a large organization and at the huge scale of Amazon, it is difficult to take a big idea from conception to deployment. It is hard to know who owns what, how to navigate the organization and inject a new idea into an existing budgeted and approved roadmap..",5,"Sep 10, 2018"
"Super smart people that raise my standards in many areas. Great investment in big ideas and the freedom to propose big ideas. If you have a role that isn't great, you can always transfer and go to other teams- chances are there's a team here that is aligned with your career passions.. *separator* The pace and amount of work can get the best of you if you don't keep good control of it. You can control it, but that means saying no and learning what is/is not important. Time management skills are essential here..",5,"Jun 1, 2018"
Flexibility to do work anytime and all resources are available.. *separator* Firm deadlines and push to finish early..,5,"Oct 21, 2022"
A lot of resources to collect and analyze. *separator* You need to conserve your time for priorities.,5,"Oct 11, 2022"
"Good salary, working for 3 days per week, paid 40$/1h, .... *separator* Good salary, 40$/1h, 3 days a week,.",5,"Oct 5, 2022"
growing company with a super technology. *separator* good place to work to devlop the techanology.,5,"Sep 27, 2022"
"The scale of Amazon allows to have a big in impact in terms of customers and sales. The structure and face paced environment make you learn fast. It is relatively easy to change team, department and city within Amazon. *separator* A lot of work is required and no extra hours are counted.",5,"Sep 23, 2022"
Had the pleasure to work with the DS team for my 6-month internship. I learned so much during this time and would recommend this to anyone.. *separator* Pressure to deliver and learn topics quickly.,4,"Oct 1, 2022"
good conditions for a company. *separator* overworking hours in some situations.,5,"Sep 2, 2022"
Make people understand how life works. *separator* Give people chance to explain them selves.,4,"Jul 24, 2022"
"good pay and benefit, a lot of challenge and interesting problem. *separator* have stress. career goal is not clear.",4,"Jul 16, 2022"
"Flexible hours, great offices, great team, great pay and benefits. *separator* Bureaucracy might be hard to navigate sometimes, troubles that come with any company of this size and scale.",4,"Jul 3, 2022"
"good problem statements, good compensation, work life balance. *separator* bureaucratic culture, slow, less opportunity for end-to-end ownership.",3,"Jun 11, 2022"
"Amazon is the best working place! I love the working environment, talent people in the company, great resources and flexible working arrangements!. *separator* haven't found so far, if meal could be provided now and then, it will be even better!.",5,"May 24, 2022"
"good company,Great to start,good salary. *separator* needs standard qualifications for higher posts.",5,"May 21, 2022"
Handsome pay and too much challenging. *separator* poor work life balance and no holidays on max weekends..,4,"May 24, 2022"
good env for beginners and pros. *separator* not cons at the moment.,5,"Apr 25, 2022"
"Good salary, Good co workers. *separator* Not so good work environment.",5,"Apr 21, 2022"
"vast opportunities to learn, smart people. *separator* There is some misalignment between your role and responsibilities and expectation for growth.",4,"May 3, 2022"
The management is very humanized. *separator* Sometimes work pressure is too high.,3,"Apr 28, 2022"
good work ethics and good working conditions. *separator* less package and that can be a downside.,4,"Apr 20, 2022"
"Nice wage and people working there. *separator* Not really any, everything was ok.",5,"Apr 5, 2022"
"What are the pros and cons of working at Amazon? I recently left Amazon to start my own venture. I was there for a little under 2 years. The answer to your question will of course, vary by the person answering but in my perspective, it was the highlight of my career. It is a tough and demanding environment but I truly enjoyed my work and my time there, Below are the pros and cons based on my experience Pros 1. Big problems - At Amazon, no problem is pushed aside as too hard to solve. In fact, they go after the really hard and insolvable problems and then throw talent, time and resources towards solving them. In my time there, pretty much every team I worked with was solving a ""holy grail"" problem in their field and actually making progress towards it. There is no dearth of interesting projects, teams or ideas to work on. 2. Structure and thinking - There is a lot of document writing at Amazon, in case you have not heard. While some people do not like that part of the job much, I think the required meetings and documents force every employee to truly think about their job and what they are doing. Producing the write-ups and getting them ready to face up to a room of very detailed scrutiny and questioning forces you to think through every aspect of your business. it is really a very valuable skill that Amazon does a great job of developing. 3. Ownership - Amazon treats you like an owner - a grown up. You have a job to do and you are empowered to do it. There are checks and balances, of course, but you truly do own your business. You make the assessments, take the risks, justify your decisions and ultimately reap the benefits or learn from your mistakes and move on. There are not many fall-backs and layers to catch you if you are not moving your business forward. Not a lot of finger poitning for failures either, that I saw. In fact, I would say that if you do not act like an owner, you will not be successful at Amazon. You have to embrace the responsibility and run with it. 4. Smart People - You'll hear this a lot and personally, I think some of the talk is overblown but Amazon does indeed have some very, very smart and talented people working there. I know its a cliche, but I did learn a lot from most people I worked with there - and again, I say, most, not all :-) are just genuinely nice people. I would work again with these people without hesitation. I think the leadership there is especially great - just really smart, experienced people with sharp instincts, great insights and lots of ambition. It was really fun working with the folks I did.. *separator* What are the pros and cons of working at Amazon? I recently left Amazon to start my own venture. I was there for a little under 2 years. The answer to your question will of course, vary by the person answering but in my perspective, it was the highlight of my career. It is a tough and demanding environment but I truly enjoyed my work and my time there, Below are the pros and cons based on my experience Pros 1. Big problems - At Amazon, no problem is pushed aside as too hard to solve. In fact, they go after the really hard and insolvable problems and then throw talent, time and resources towards solving them. In my time there, pretty much every team I worked with was solving a ""holy grail"" problem in their field and actually making progress towards it. There is no dearth of interesting projects, teams or ideas to work on. 2. Structure and thinking - There is a lot of document writing at Amazon, in case you have not heard. While some people do not like that part of the job much, I think the required meetings and documents force every employee to truly think about their job and what they are doing. Producing the write-ups and getting them ready to face up to a room of very detailed scrutiny and questioning forces you to think through every aspect of your business. it is really a very valuable skill that Amazon does a great job of developing. 3. Ownership - Amazon treats you like an owner - a grown up. You have a job to do and you are empowered to do it. There are checks and balances, of course, but you truly do own your business. You make the assessments, take the risks, justify your decisions and ultimately reap the benefits or learn from your mistakes and move on. There are not many fall-backs and layers to catch you if you are not moving your business forward. Not a lot of finger poitning for failures either, that I saw. In fact, I would say that if you do not act like an owner, you will not be successful at Amazon. You have to embrace the responsibility and run with it. 4. Smart People - You'll hear this a lot and personally, I What are the pros and cons of working at Amazon? I recently left Amazon to start my own venture. I was there for a little under 2 years. The answer to your question will of course, vary by the person answering but in my perspective, it was the highlight of my career. It is a tough and demanding environment but I truly enjoyed my work and my time there, Below are the pros and cons based on my experience Pros 1. Big problems - At Amazon, no problem is pushed aside as too hard to solve. In fact, they go after the really hard and insolvable problems and then throw talent, time and resources towards solving them. In my time there, pretty much every team I worked with was solving a ""holy grail"" problem in their field and actually making progress towards it. There is no dearth of interesting projects, teams or ideas to work on. 2. Structure and thinking - There is a lot of document writing at Amazon, in case you have not heard. While some people do not like that part of the job much, I think the required meetings and documents force every employee to truly think about their job and what they are doing. Producing the write-ups and getting them ready to face up to a room of very detailed scrutiny and questioning forces you to think through every aspect of your business. it is really a very valuable skill that Amazon does a great job of developing. 3. Ownership - Amazon treats you like an owner - a grown up. You have a job to do and you are empowered to do it. There are checks and balances, of course, but you truly do own your business. You make the assessments, take the risks, justify your decisions and ultimately reap the benefits or learn from your mistakes and move on. There are not many fall-backs and layers to catch you if you are not moving your business forward. Not a lot of finger poitning for failures either, that I saw. In fact, I would say that if you do not act like an owner, you will not be successful at Amazon. You have to embrace the responsibility and run with it. 4. Smart People - You'll hear this a lot and personally, I think some of the talk is overblown but Amazon does indeed have some very, very smart and talented people working there. I know its a cliche, but I did learn a lot from most people I worked with there - and again, I say, most, not all :-) are just genuinely nice people. I would work again with these people without hesitation. I think the leadership there is especially great - just really smart, experienced people with sharp instincts, great insights and lots of ambition. It was really fun working with the folks I did. Cons 1. Structure and documentation - What I said above about structure and documentation, while its great to create clarity and shape your thinking, it can get in the way of actually doing your work. Everybody at Amazon is juggling so much and constantly writing high quality documents can get exhausting. The secret here, as in any job, is to balance the strategic against the operational and prioritize ruthlessly. I cannot say I was always effective at it - but I tried till my last day and now have the benefit of hind sight as well :-) 2. Culture - I think some people could have a tough time adjusting to the culture - its tough, expectations are high and there is not always a lot of hand holding ( in fact, it would be very rare). I think you have to embrace or at least accept it and focus on the positives. Your team makes a huge difference - so hopefully you're lucky and end up with a great manager and great team mates. If you're looking for free food and onsite massages - you certainly will be disappointed. You can end up overworked and resentful if you are not good at prioritizing your work and your life and making trade-offs. 3. People/Politics - I started to see a lot of the ""we are the best in the world"" mentality start to show up. I don't believe that everyone that works at Amazon is a genius and seeing that attitude crop up every now and then was annoying. Every company has inside politics and even though Amazon tries really hard to believe there is no politics, there is certainly that to deal with. No more than any other company that I can tell, but it can get frustrating when you're working so hard and so long to get derailed by that kind of thing. So there you have it - overall I loved my time at Amazon. I was exhausted (in a very good way) every day but couldn't wait to go back and keep making progress. I was lucky to have a great team, a really interesting area to work on and some awesome problems to tackle. some of the talk is overblown but Amazon does indeed have some very, very smart and talented people working there. I know its a cliche, but I did learn a lot.",4,"Apr 19, 2022"
"Everything good no problem at all.. *separator* Nothing bad, no issue at all..",4,"Apr 17, 2022"
"I am working in AWS professional services. Interesting work, very knowledgeable and bright people. Good pay. *separator* Managers are clueless of what’s happening and they bring obstacles and judge you with very little knowledge. They don’t support individuals. even Faced discrimination by a manager..",2,"Mar 26, 2022"
A good product based company. *separator* Product based company Lots to learn Job experience and security.,5,"Mar 4, 2022"
"Salary is not that bad, some good people here and there.. *separator* A lot of politics, they tell you you will work on exciting stuff and you end up writing SQL queries the whole day..",2,"Mar 4, 2022"
"There is LOTS of data at Amazon, and so you are never short of problems to work on. Colleagues are extremely smart, and overwhelming friendly and helpful. Work is highly impactful, affecting products that have global reach.. *separator* Work that spans different teams can be very challenging, as each team is orientated and aligned to its own success criteria rather than overarching global ones..",4,"Feb 13, 2022"
Things are well documented and you must be ready to search them out.. *separator* As you will expect with big organisation but it is good.,5,"Jan 19, 2022"
Snacks lunch coffee game rest. *separator* Nothing really important to mention.,1,"Feb 13, 2022"
Cool coy to work for today. *separator* Nothing much the coy is about great.,3,"Jan 18, 2022"
Pros are must in this firm.. *separator* Cons are few in this firm..,4,"Dec 30, 2021"
a very good place to work. *separator* it's a bit headache to work there.,4,"Dec 28, 2021"
"awsome wlb, remote work options, laid back culture. *separator* slowpaced, low pay, not miuch woirk.",5,"Nov 3, 2021"
Love the company. I recommend. *separator* Demanding job but worth the experience.,5,"Nov 1, 2021"
"constantly learning opportunities and lots of responsibilities, pushed to process. *separator* org very chaotic and hard to move the needle, promotion process is painful.",4,"Nov 4, 2021"
Very good salary and work culture. *separator* Nothing in my mind as of now.,5,"Oct 7, 2021"
"Great Company, really stingy owner though. *separator* Too big for my liking - but it is what it is.",5,"Aug 17, 2021"
The best firms out there in the market in the field of It and you can do data jobs here. *separator* There was non of the cons I ever seen in this company so enjoy working here for your future and good experience.,5,"Aug 11, 2021"
Good working hours and work life balance. *separator* Less pay but still good life balance.,4,"Aug 19, 2021"
Best company at Great Vancouver Area. *separator* You must best to work at Amazon.,5,"Jul 20, 2021"
Best working experience I have ever had.. *separator* There is no con here..,5,"Jul 18, 2021"
Amazing company to grow as a data scientist...you are at the forefront of technology and cutting age science research...Good compensation and growth opportunities... *separator* Work life balance can sometimes get bad but nothing that can't be managed given the quality of work and compensation...,5,"Jul 17, 2021"
Good job with many opportunities. *separator* Busy schedule and a lot to do.,5,"Jul 12, 2021"
This compnany is great to work for with grt environment. *separator* I cant really say any negatives.,5,"Jul 12, 2021"
Lots to learn. Smart Colleagues.. *separator* Experience heavily affected by team and managers. Internal tools are horrible..,2,"Jul 18, 2021"
1. Competitive people 2. Good salary. *separator* 1. No work life balance 2. Bad culture.,5,"Jun 25, 2021"
good work environment good culture. *separator* no cons as such till now.,5,"Jun 15, 2021"
Good for self motivated people. *separator* Lack of assessment from manager.,4,"Jun 27, 2021"
work flexibility best culture nice team mates no dress code wifi availability. *separator* break time structure and documentation culture politics limited salary.,5,"Jun 4, 2021"
"Have challenging work, and also great people to work with!. *separator* Majorly a business team, so tech knowledge may be respected.",5,"May 31, 2021"
"Exciting work, measured by output, culture is great. *separator* Compensation not always in line with FB, Microsoft, Apple.",5,"May 24, 2021"
"Great possibilities in terms of teams and change positions. *separator* Very toxic culture in many departments, my boss blackmailed me to stay in my current position.",1,"Jun 25, 2021"
"- Learned and experienced peers to interact with - Flexibility to change roles and teams to avoid stagnation of learning and work - structured way of working and project management - Opportunity to work with global teams, and chance of travel. *separator* - poor appraisal process - on-call thing is frustrating - inter team politics as the teams grow - culture is not people centric, management will seem apathetic.",4,"May 29, 2021"
"Great work environment, challenging but rewarding. *separator* Not much cons to be honest.",5,"Apr 25, 2021"
-Great pay - Amazing benefits - Good outlook for future. *separator* - Competitive - Very large corporation.,4,"May 7, 2021"
very friendly environment that never ever other. *separator* unhealthy life style due to shift.,5,"Apr 23, 2021"
Great experience till now working with Amazon. *separator* No cons as of yet.,5,"Apr 16, 2021"
"i am happy with my job. *separator* no drawbacks ,but timings are high.",5,"Apr 7, 2021"
"Great conditions. Big career opportunities. *separator* Complex systems, hard to learn.",5,"Apr 5, 2021"
working culture is something to admire. *separator* There will be internal politics in the team.,5,"Mar 2, 2021"
Excellent work experience at amazon. *separator* Work hour is the concern.,5,"Feb 22, 2021"
it is superb experience tgdrf. *separator* it has no cons accordingly.,5,"Feb 17, 2021"
Very good work culture there. *separator* Nothing as of now to say.,5,"Feb 8, 2021"
Nice people and fun culture.. *separator* Not great pay and could do with better structure.,5,"Jan 31, 2021"
"Nice work environment, good salary. *separator* No cons as of now..",5,"Jan 24, 2021"
Company culture is very competitive. Keep up or don't expect career growth. Amazing learning opportunity working with some of the brightest minds in the UK.. *separator* No WLB but expected going into this.,4,"Feb 5, 2021"
I love working here and it is fun. *separator* No cons as of yet.,5,"Jan 20, 2021"
"Good place to work, freedom to work form anywhere, strong infrasture to support remote work. Friendly managers and employees.. *separator* Overwheling process, Some managers micro manage teams..",4,"Jan 26, 2021"
They seriously pay Good salary. *separator* Honestly I Haven't found one.,5,"Dec 24, 2020"
"Amazon operations is a place rich of use cases and a lot of data to develop them. *separator* Current management is not interested at all in data science, they do not see/understand the benefit of it, it's a pity.",1,"Jan 22, 2021"
Great place to work amazon. *separator* hectic work to do all day.,5,"Dec 16, 2020"
the environment is great for new graduates. *separator* peer pressure and intensive workload.,3,"Dec 29, 2020"
Great company to build career in data science. *separator* No Cons except it is large company and might take a while to understand all the functions and business units..,5,"Nov 12, 2020"
"great work environment, supportive members. *separator* far from home and way too much traffic on the way.",5,"Sep 9, 2020"
Best atmosphere in working sector. *separator* No cons as such according to me.,5,"Sep 1, 2020"
It is very good company. *separator* Work pressure is very high.,4,"Aug 29, 2020"
"The best place to push your leadership potential.. *separator* Some procedures are too heavy, but it is fine..",5,"Aug 15, 2020"
"Cool company culture, great growth potential. *separator* Can't even think of one.",4,"Aug 29, 2020"
1. Competitive work environment 2. Best technologies. *separator* 1. India - Seattle work culture difference.,4,"Aug 26, 2020"
Long working hours and stressful. *separator* Well paid and nice people.,4,"Aug 25, 2020"
Stock price is getting higher. *separator* Managers are stupid. Managers are just collecting information to make a report to their own manager. Too much work requests from everywhere.,1,"Sep 2, 2020"
"nice to work ,very nice. *separator* lot of headache,can improve hi.",4,"Aug 2, 2020"
nice company to work in. *separator* nice boss talks gently to me.,5,"Jul 2, 2020"
"Benkiii and awesome, helpful,national level. *separator* difficult to get in, minimal efforts required.",5,"Jun 16, 2020"
Good work life balance. Great leadership. Doc writing culture is a good skill to pick Decent pay. *separator* No contact with HR or any interaction. Almost feel deserted by them..,5,"Jun 15, 2020"
"Friendly Team: All the members of the team are quite friendly with each other, it doesn't seem like an office place. Independent Projects: Everyone is working on independent projects which helps in gaining leadership. Management: My manager was really helpful at times while guiding through the project. Great human being!. *separator* Work life balance is not so great here.",3,"Jun 18, 2020"
The company benefits and the structuring of the employee payment is nice.. *separator* There arent any worthwhile to talk about.,5,"May 31, 2020"
nice pay and promotion at work. *separator* work overtime sometimes but acceptable.,5,"May 25, 2020"
There is a process for everything so the learning curve is steep. *separator* The company is too large so the bar of scientists has diluted a little.,5,"Apr 19, 2020"
"I love working here in Amazon . Everyday work is really challenging, new things to learn and develop from scratch . Work culture is good and manager is very supportive . Learning curve is exponential and meeting and talking with new people over work is good .. *separator* Long working hours , sometimes have to stretch more than usual time to get the work done..",4,"Apr 13, 2020"
"There is flexibility in your working schedule, lots of opportunities all around the world.. *separator* Depending on the team, M-team might suck big time. Choose manager not the team, you can always change the teams after a couple of months. No any perks, very frugal company..",3,"Mar 18, 2020"
"1. Freedom of shifts or timings, 2. Cool and intelligent workmates, 3. Gaming area is awesome, 4. Individual Projest. *separator* 1. A bit unstructured in designing problem statemnet, 2. Difficult to adapt initially..",4,"Feb 27, 2020"
"- Amazon name and title on resume. *separator* - Total metric overload: entire meetings go by with staff quoting dozens of metrics and people just going along as if an actual meeting is taking place. Metrics support your ideas and points they should not lead it. - Political: giving impressions of doing work is unfortunately more important than actually doing good work...a downside to a large corporation that has become hierarchical. If you don't promote your own work you won't get recognition. The Culture is hollow: people are nice and friendly but there is a dramatic cavity where there should be enthusiasm and joy. Friday night get togethers? nope. Coworkers hanging out during work? nope. People are friendly yes, respectful yes, but absolutely soulless compared to other tech companies. - Unfortuanately Hierarchial and not flat. I have not experienced such a hierarchial organization since i left insurance a dozen or more years ago. - the office in luxemburg is focused on operations and not product development---> would not recommend this to anyone looking for actual data science work..",2,"Feb 8, 2020"
"> Great manager. > Good work-life balance. > Freedom to present ideas. *separator* > Competitive work environment. Not necessarily a con, in the sense that people are a bit too ambitious.",4,"Feb 4, 2020"
Lots of data and opportunities for data scientists. *separator* Career paths are sometimes unclear.,4,"Dec 10, 2019"
"Great place to work, learn and gain experience. Opportunities to work at huge scale. Only work matters and nothing else. Work from home option.. *separator* Sometimes it is hectic..",4,"Nov 4, 2019"
# Great salary package + bonus incentives including stock # One of the few companies here where a meritocracy exists # Great mentors in the form of managers who really know what their doing. *separator* # Long hours can be infuriating if you don't like what your doing.,5,"Jul 26, 2019"
Push your limits with unreal expectations. *separator* no guidance in terms and work and career growth.,4,"Jun 24, 2019"
You get to work on behalf of more than a billion customers. *separator* Standards a little lower than the US counterparts in the science families.. Standards in terms of Abilities and resources...,4,"May 1, 2019"
flexible working hours work from home there are many smart people around you who are more than willing to share their knowledge. *separator* work-life balance not so good highly political flying economy on inter-continental flights no matter your level very rigid HR compensation could be better no perks such as a car on leasing no food provided on campus no tech courses (such as Machine Learning University) in Europe.,4,"Sep 17, 2018"
"Good office, Nice location. A laid back diverse/modern culture.. *separator* There is a huge difference between job-description and day-to-day work. The Ad Tech team in particular is direction-less and experiments with new teams every year with no longer term focus. Avoid this team at any cost. Amazon has many other better teams and experiences to offer..",2,"Nov 3, 2017"
